label_source,target_label,comparison_label,rank,feature_id,effect_size,target_mean_log1p,comparison_mean_log1p,target_prevalence,comparison_prevalence,target_n,comparison_n
expected_label,coherent,noncoherent,1,8705,1.090807557106018,4.370151042938232,4.283170223236084,1.0,1.0,62,98
expected_label,coherent,noncoherent,2,14611,1.0805559158325195,4.342419624328613,4.278292179107666,1.0,1.0,62,98
expected_label,coherent,noncoherent,3,9924,1.0097078084945679,2.1110737323760986,0.44215431809425354,0.532258064516129,0.11224489795918367,62,98
expected_label,coherent,noncoherent,4,13099,1.0073872804641724,2.5768654346466064,0.9087199568748474,0.6935483870967742,0.24489795918367346,62,98
expected_label,coherent,noncoherent,5,12684,0.9405065178871155,2.2488925457000732,0.6868168711662292,0.5967741935483871,0.1836734693877551,62,98
expected_label,coherent,noncoherent,6,5950,0.928896427154541,4.164194583892822,4.095386505126953,1.0,1.0,62,98
expected_label,coherent,noncoherent,7,3066,0.8675618767738342,5.4989519119262695,5.453460693359375,1.0,1.0,62,98
expected_label,coherent,noncoherent,8,12454,0.841028094291687,1.153348445892334,0.07547902315855026,0.3064516129032258,0.02040816326530612,62,98
expected_label,coherent,noncoherent,9,9719,0.8339841365814209,0.9975582361221313,0.0,0.25806451612903225,0.0,62,98
expected_label,coherent,noncoherent,10,7655,0.8077602386474609,4.327125072479248,4.224710941314697,1.0,1.0,62,98
expected_label,coherent,noncoherent,11,15748,0.7356178760528564,3.698259115219116,2.823826789855957,0.9838709677419355,0.7551020408163265,62,98
expected_label,coherent,noncoherent,12,6178,0.7332318425178528,4.375965118408203,4.332075595855713,1.0,1.0,62,98
expected_label,coherent,noncoherent,13,13627,0.7222526669502258,3.2756264209747314,2.1545803546905518,0.8709677419354839,0.5918367346938775,62,98
expected_label,coherent,noncoherent,14,16271,0.6784614324569702,3.4012131690979004,2.291966676712036,0.8709677419354839,0.5918367346938775,62,98
expected_label,coherent,noncoherent,15,15894,0.663053035736084,1.720312237739563,0.8431930541992188,0.6129032258064516,0.30612244897959184,62,98
expected_label,coherent,noncoherent,16,4799,0.6438329219818115,5.246513843536377,5.218763828277588,1.0,1.0,62,98
expected_label,coherent,noncoherent,17,10914,0.6384420990943909,4.276561260223389,4.201881408691406,1.0,1.0,62,98
expected_label,coherent,noncoherent,18,67,0.5793278217315674,6.718512535095215,6.694683074951172,1.0,1.0,62,98
expected_label,coherent,noncoherent,19,319,0.576680600643158,6.992919921875,6.977883338928223,1.0,1.0,62,98
expected_label,coherent,noncoherent,20,15369,0.5700735449790955,2.7946786880493164,1.758804440498352,0.7258064516129032,0.45918367346938777,62,98
expected_label,coherent,noncoherent,21,10793,0.5692434906959534,2.7729995250701904,1.7464057207107544,0.7258064516129032,0.45918367346938777,62,98
expected_label,coherent,noncoherent,22,6256,0.5576744079589844,2.5847487449645996,1.5315908193588257,0.6612903225806451,0.3877551020408163,62,98
expected_label,coherent,noncoherent,23,9172,0.5538486838340759,4.186683177947998,4.151416778564453,1.0,1.0,62,98
expected_label,coherent,noncoherent,24,15450,0.5354490280151367,4.850592613220215,4.8271260261535645,1.0,1.0,62,98
expected_label,coherent,noncoherent,25,16333,0.5163255333900452,3.7083191871643066,2.9469716548919678,0.9193548387096774,0.7346938775510204,62,98
expected_label,coherent,noncoherent,26,14132,0.5082663893699646,4.03900671005249,3.6005699634552,0.9838709677419355,0.9183673469387755,62,98
expected_label,coherent,noncoherent,27,16235,0.5038004517555237,0.410246342420578,0.0,0.11290322580645161,0.0,62,98
expected_label,coherent,noncoherent,28,13646,0.5034751296043396,4.167989253997803,4.1237382888793945,1.0,1.0,62,98
expected_label,coherent,noncoherent,29,9865,0.5019855499267578,4.196822166442871,3.768033027648926,1.0,0.9081632653061225,62,98
expected_label,coherent,noncoherent,30,9940,0.4720037281513214,3.794602155685425,3.4484341144561768,0.9838709677419355,0.9387755102040817,62,98
expected_label,coherent,noncoherent,31,11199,0.46350958943367004,0.5566496253013611,0.07896402478218079,0.14516129032258066,0.02040816326530612,62,98
expected_label,coherent,noncoherent,32,7652,0.4628911316394806,0.3861895203590393,0.0,0.0967741935483871,0.0,62,98
expected_label,coherent,noncoherent,33,5545,0.44615638256073,3.730041742324829,3.1635830402374268,0.9354838709677419,0.8163265306122449,62,98
expected_label,coherent,noncoherent,34,11361,0.4296453595161438,4.286436557769775,4.103573799133301,1.0,0.9795918367346939,62,98
expected_label,coherent,noncoherent,35,16026,0.4082264304161072,3.8561060428619385,3.3344857692718506,0.9516129032258065,0.8163265306122449,62,98
expected_label,coherent,noncoherent,36,7941,0.40708819031715393,4.34736442565918,4.2181196212768555,1.0,0.9897959183673469,62,98
expected_label,coherent,noncoherent,37,13109,0.40151742100715637,3.497089147567749,3.411198139190674,1.0,1.0,62,98
expected_label,coherent,noncoherent,38,6881,0.39444804191589355,3.7932586669921875,3.609428644180298,1.0,0.9693877551020408,62,98
expected_label,coherent,noncoherent,39,15597,0.37194252014160156,0.773744523525238,0.2987675964832306,0.20967741935483872,0.08163265306122448,62,98
expected_label,coherent,noncoherent,40,272,0.3629372715950012,6.57302188873291,6.559250354766846,1.0,1.0,62,98
expected_label,coherent,noncoherent,41,14836,0.35428327322006226,4.498389720916748,4.120811462402344,0.9838709677419355,0.8979591836734694,62,98
expected_label,coherent,noncoherent,42,517,0.3431439995765686,5.3488450050354,5.0340070724487305,1.0,0.9387755102040817,62,98
expected_label,coherent,noncoherent,43,9834,0.3314947187900543,3.7223258018493652,3.508162498474121,1.0,0.9387755102040817,62,98
expected_label,coherent,noncoherent,44,12257,0.3207242786884308,4.447694301605225,4.189505100250244,0.9838709677419355,0.9489795918367347,62,98
expected_label,coherent,noncoherent,45,9681,0.28539207577705383,4.890752792358398,4.849350452423096,1.0,1.0,62,98
expected_label,coherent,noncoherent,46,7367,0.26480725407600403,4.356762886047363,4.240570545196533,1.0,0.9795918367346939,62,98
expected_label,coherent,noncoherent,47,8818,0.26237377524375916,4.191714763641357,4.080915927886963,1.0,0.9795918367346939,62,98
expected_label,coherent,noncoherent,48,8832,0.25815752148628235,0.12398578226566315,0.0,0.03225806451612903,0.0,62,98
expected_label,coherent,noncoherent,49,10502,0.24943451583385468,3.4194045066833496,3.1413979530334473,0.9354838709677419,0.8571428571428571,62,98
expected_label,coherent,noncoherent,50,10472,0.2183821052312851,4.362704753875732,4.341259002685547,1.0,1.0,62,98
expected_label,contradiction,coherent,1,15007,1.1695542335510254,4.328551292419434,4.2482452392578125,1.0,1.0,39,62
expected_label,contradiction,coherent,2,16137,1.1403827667236328,5.220008850097656,5.178406238555908,1.0,1.0,39,62
expected_label,contradiction,coherent,3,1382,0.9780402183532715,4.953916072845459,4.870131969451904,1.0,1.0,39,62
