label_source,target_label,comparison_label,rank,feature_id,effect_size,target_mean_log1p,comparison_mean_log1p,target_prevalence,comparison_prevalence,target_n,comparison_n
expected_label,coherent,noncoherent,1,477,0.6279445886611938,5.7507171630859375,5.679424285888672,1.0,1.0,17,68
expected_label,coherent,noncoherent,2,514,0.4282853603363037,6.201540946960449,6.180000305175781,1.0,1.0,17,68
expected_label,coherent,noncoherent,3,386,0.09013881534337997,6.160393714904785,6.156260967254639,1.0,1.0,17,68
expected_label,coherent,noncoherent,4,13635,-0.0003117949527222663,0.2646946907043457,0.2650250196456909,0.058823529411764705,0.058823529411764705,17,68
expected_label,coherent,noncoherent,5,8807,-0.001044142059981823,0.27445852756500244,0.27560722827911377,0.058823529411764705,0.058823529411764705,17,68
expected_label,coherent,noncoherent,6,4660,-0.15991702675819397,4.424094200134277,4.6595916748046875,0.8823529411764706,0.9264705882352942,17,68
expected_label,coherent,noncoherent,7,1105,-0.33468273282051086,0.2809702455997467,0.7768598198890686,0.058823529411764705,0.16176470588235295,17,68
expected_label,coherent,noncoherent,8,941,-0.3654386103153229,2.0847384929656982,2.9988670349121094,0.4117647058823529,0.5882352941176471,17,68
expected_label,coherent,noncoherent,9,408,-0.420322984457016,5.939518451690674,5.975523948669434,1.0,1.0,17,68
expected_label,coherent,noncoherent,10,1223,-0.44786912202835083,5.516663551330566,5.528670787811279,1.0,1.0,17,68
expected_label,coherent,noncoherent,11,534,-0.48025187849998474,5.70097017288208,5.748615264892578,1.0,1.0,17,68
expected_label,coherent,noncoherent,12,278,-0.49086132645606995,6.592888355255127,6.617090225219727,1.0,1.0,17,68
expected_label,coherent,noncoherent,13,578,-0.5231958627700806,6.026640892028809,6.047168731689453,1.0,1.0,17,68
expected_label,coherent,noncoherent,14,553,-0.6711382865905762,5.1481218338012695,5.204884052276611,1.0,1.0,17,68
expected_label,contradiction,coherent,1,941,0.7450811862945557,3.8435497283935547,2.0847384929656982,0.75,0.4117647058823529,24,17
expected_label,contradiction,coherent,2,278,0.7023946046829224,6.62779426574707,6.592888355255127,1.0,1.0,24,17
expected_label,contradiction,coherent,3,408,0.666526198387146,5.998039722442627,5.939518451690674,1.0,1.0,24,17
expected_label,contradiction,coherent,4,534,0.6647189855575562,5.771829128265381,5.70097017288208,1.0,1.0,24,17
expected_label,contradiction,coherent,5,553,0.6452392339706421,5.198901653289795,5.1481218338012695,1.0,1.0,24,17
expected_label,contradiction,coherent,6,578,0.6330679655075073,6.051828384399414,6.026640892028809,1.0,1.0,24,17
expected_label,contradiction,coherent,7,4660,0.5111891627311707,5.008427143096924,4.424094200134277,1.0,0.8823529411764706,24,17
expected_label,contradiction,coherent,8,273,0.426398366689682,0.37569525837898254,0.0,0.08333333333333333,0.0,24,17
expected_label,contradiction,coherent,9,1105,0.0951959565281868,0.3976021707057953,0.2809702455997467,0.08333333333333333,0.058823529411764705,24,17
expected_label,contradiction,coherent,10,1223,0.027588529512286186,5.517319202423096,5.516663551330566,1.0,1.0,24,17
expected_label,contradiction,coherent,11,8807,-0.07817843556404114,0.19477415084838867,0.27445852756500244,0.041666666666666664,0.058823529411764705,24,17
expected_label,contradiction,coherent,12,386,-0.2818180024623871,6.1486334800720215,6.160393714904785,1.0,1.0,24,17
expected_label,contradiction,coherent,13,477,-0.4447402060031891,5.7034783363342285,5.7507171630859375,1.0,1.0,24,17
expected_label,contradiction,coherent,14,514,-0.501137375831604,6.180643081665039,6.201540946960449,1.0,1.0,24,17
expected_label,paradox,coherent,1,553,0.7559743523597717,5.214174270629883,5.1481218338012695,1.0,1.0,32,17
expected_label,paradox,coherent,2,1223,0.62309730052948,5.533442974090576,5.516663551330566,1.0,1.0,32,17
expected_label,paradox,coherent,3,408,0.5866166949272156,5.985666275024414,5.939518451690674,1.0,1.0,32,17
expected_label,paradox,coherent,4,578,0.5839468240737915,6.050527572631836,6.026640892028809,1.0,1.0,32,17
expected_label,paradox,coherent,5,534,0.5530729293823242,5.75300407409668,5.70097017288208,1.0,1.0,32,17
expected_label,paradox,coherent,6,1105,0.5502293109893799,1.2008018493652344,0.2809702455997467,0.25,0.058823529411764705,32,17
expected_label,paradox,coherent,7,278,0.5265896320343018,6.618363380432129,6.592888355255127,1.0,1.0,32,17
expected_label,paradox,coherent,8,753,0.4548581540584564,0.4309892952442169,0.0,0.09375,0.0,32,17
expected_label,paradox,coherent,9,273,0.45485714077949524,0.42163538932800293,0.0,0.09375,0.0,32,17
expected_label,paradox,coherent,10,9499,0.2539997696876526,0.14404799044132233,0.0,0.03125,0.0,32,17
expected_label,paradox,coherent,11,4000,0.2539997696876526,0.1449110358953476,0.0,0.03125,0.0,32,17
expected_label,paradox,coherent,12,13635,0.23093099892139435,0.5631781816482544,0.2646946907043457,0.125,0.058823529411764705,32,17
expected_label,paradox,coherent,13,941,0.1840747892856598,2.5488736629486084,2.0847384929656982,0.5,0.4117647058823529,32,17
expected_label,paradox,coherent,14,8807,0.1332094669342041,0.43958473205566406,0.27445852756500244,0.09375,0.058823529411764705,32,17
expected_label,paradox,coherent,15,4660,0.09668519347906113,4.5735368728637695,4.424094200134277,0.90625,0.8823529411764706,32,17
expected_label,paradox,coherent,16,386,-0.1743367314338684,6.151554584503174,6.160393714904785,1.0,1.0,32,17
expected_label,paradox,coherent,17,514,-0.529560387134552,6.1720781326293945,6.201540946960449,1.0,1.0,32,17
expected_label,paradox,coherent,18,477,-0.8927709460258484,5.642980575561523,5.7507171630859375,1.0,1.0,32,17
expected_label,underdetermined,coherent,1,1223,0.7769473195075989,5.538647174835205,5.516663551330566,1.0,1.0,12,17
expected_label,underdetermined,coherent,2,386,0.7138404846191406,6.1840667724609375,6.160393714904785,1.0,1.0,12,17
expected_label,underdetermined,coherent,3,553,0.5056809782981873,5.192079544067383,5.1481218338012695,1.0,1.0,12,17
expected_label,underdetermined,coherent,4,273,0.4264008700847626,0.3757331073284149,0.0,0.08333333333333333,0.0,12,17
expected_label,underdetermined,coherent,5,941,0.1698123663663864,2.5094833374023438,2.0847384929656982,0.5,0.4117647058823529,12,17
expected_label,underdetermined,coherent,6,1105,0.10006065666675568,0.4048631489276886,0.2809702455997467,0.08333333333333333,0.058823529411764705,12,17
expected_label,underdetermined,coherent,7,578,0.07552829384803772,6.028896331787109,6.026640892028809,1.0,1.0,12,17
expected_label,underdetermined,coherent,8,278,-0.012987429276108742,6.592283248901367,6.592888355255127,1.0,1.0,12,17
expected_label,underdetermined,coherent,9,514,-0.035333335399627686,6.199838638305664,6.201540946960449,1.0,1.0,12,17
expected_label,underdetermined,coherent,10,534,-0.12369116395711899,5.690483093261719,5.70097017288208,1.0,1.0,12,17
expected_label,underdetermined,coherent,11,4660,-0.13294772803783417,4.191396713256836,4.424094200134277,0.8333333333333334,0.8823529411764706,12,17
expected_label,underdetermined,coherent,12,477,-0.2469288557767868,5.728506565093994,5.7507171630859375,1.0,1.0,12,17
expected_label,underdetermined,coherent,13,408,-0.4502415359020233,5.903446197509766,5.939518451690674,1.0,1.0,12,17
predicted_label,coherent,noncoherent,1,4660,0.45136865973472595,5.0186638832092285,4.545723915100098,1.0,0.9041095890410958,12,73
predicted_label,coherent,noncoherent,2,941,0.2792928218841553,3.4100961685180664,2.718388795852661,0.6666666666666666,0.5342465753424658,12,73
predicted_label,coherent,noncoherent,3,534,0.2778325080871582,5.765120983123779,5.73480749130249,1.0,1.0,12,73
predicted_label,coherent,noncoherent,4,477,0.2267410308122635,5.717746734619141,5.689727783203125,1.0,1.0,12,73
predicted_label,coherent,noncoherent,5,278,0.21064689755439758,6.622232437133789,6.610609531402588,1.0,1.0,12,73
predicted_label,coherent,noncoherent,6,386,0.18485692143440247,6.164147853851318,6.15592622756958,1.0,1.0,12,73
predicted_label,coherent,noncoherent,7,578,0.1430409997701645,6.048152446746826,6.042226791381836,1.0,1.0,12,73
predicted_label,coherent,noncoherent,8,408,0.11331737786531448,5.977202892303467,5.966862678527832,1.0,1.0,12,73
predicted_label,coherent,noncoherent,9,553,0.0834982693195343,5.200626850128174,5.1923651695251465,1.0,1.0,12,73
predicted_label,coherent,noncoherent,10,514,-0.07883559912443161,6.180679798126221,6.1849045753479,1.0,1.0,12,73
predicted_label,coherent,noncoherent,11,1223,-0.4219427704811096,5.517475128173828,5.527714729309082,1.0,1.0,12,73
predicted_label,contradiction,coherent,1,273,0.925814688205719,1.352548360824585,0.0,0.3,0.0,10,12
predicted_label,contradiction,coherent,2,1105,0.47140413522720337,0.4748729169368744,0.0,0.1,0.0,10,12
predicted_label,contradiction,coherent,3,386,0.4240633249282837,6.176602363586426,6.164147853851318,1.0,1.0,10,12
predicted_label,contradiction,coherent,4,1223,0.2903273403644562,5.524630546569824,5.517475128173828,1.0,1.0,10,12
predicted_label,contradiction,coherent,5,553,0.2749057114124298,5.231858253479004,5.200626850128174,1.0,1.0,10,12
predicted_label,contradiction,coherent,6,278,0.2517247796058655,6.637625217437744,6.622232437133789,1.0,1.0,10,12
predicted_label,contradiction,coherent,7,4660,0.1723819077014923,5.0251569747924805,5.0186638832092285,1.0,1.0,10,12
predicted_label,contradiction,coherent,8,408,0.12839964032173157,5.989792823791504,5.977202892303467,1.0,1.0,10,12
predicted_label,contradiction,coherent,9,534,0.11542760580778122,5.779371738433838,5.765120983123779,1.0,1.0,10,12
predicted_label,contradiction,coherent,10,941,0.08052698522806168,3.602262496948242,3.4100961685180664,0.7,0.6666666666666666,10,12
predicted_label,contradiction,coherent,11,514,0.002731713932007551,6.180819034576416,6.180679798126221,1.0,1.0,10,12
predicted_label,contradiction,coherent,12,578,-0.004843783099204302,6.047918796539307,6.048152446746826,1.0,1.0,10,12
predicted_label,contradiction,coherent,13,477,-0.19537793099880219,5.6927900314331055,5.717746734619141,1.0,1.0,10,12
predicted_label,paradox,coherent,1,1105,0.6454720497131348,0.8275151252746582,0.0,0.1724137931034483,0.0,58,12
predicted_label,paradox,coherent,2,13635,0.4343697428703308,0.38830190896987915,0.0,0.08620689655172414,0.0,58,12
predicted_label,paradox,coherent,3,8807,0.43436872959136963,0.4035704433917999,0.0,0.08620689655172414,0.0,58,12
predicted_label,paradox,coherent,4,1223,0.38178443908691406,5.526862621307373,5.517475128173828,1.0,1.0,58,12
predicted_label,paradox,coherent,5,753,0.33028876781463623,0.23778720200061798,0.0,0.05172413793103448,0.0,58,12
predicted_label,paradox,coherent,6,273,0.3302878141403198,0.23262642323970795,0.0,0.05172413793103448,0.0,58,12
